dept4dig,course#,name,instructor,xlisted_w,ORCdescription,prereqs,Alldistribs,coreqs
AAAS,31,"Black Theater, U.S.A.",Varies,THEA 22,"This course will examine African American playwrights, drama, and theater from 1959 to the present. Further exploration will focus on the impact of civil rights, the Black Arts movement, and cultural aesthetics on the form, style, and content of African American plays. Readings will include plays of Hansberry, Baldwin, Baraka, Kennedy, Childress, Shange, Wolfe, Wilson, Parks and others. Open to all classes.",,ART; WCult:CI,
AAAS,31.10,Dance Theatre of Harlem Workshop: Collaborative Storytelling Through Movement,"Ndounou, Heginbotham",THEA 10.57,"Synthesizing aspects of cultural storytelling, theater, movement, activism and biography, this course is focused on the creation of new performance work. Students will have a rare opportunity to engage with the singular Dance Theatre of Harlem (DTH) during their summer residency at Dartmouth College. This course explores the company’s relationship and history with ballets that tell a story and the potential for collaborative storytelling across platforms. During THEA 10.57, students will also create, collaborate,  and organize performances of their own movement-based works.",,ART; WCult:CI,
AAAS,31.50,Black Theatre Workshop: The August Wilson Experience,,THEA 10.56,"Using legendary playwright, August Wilson’s ten-play cycle of African Americans' experiences throughout American history as our inspiration, this course provides hands-on, experiential learning of acting, script analysis, and theatrical production. With no previous performance, design, or production experience required, students will read Wilson’s plays and related commentary with opportunities to perform selected scenes from the Wilson cycle while exploring possibilities for design and technical elements. In this process-oriented course, students also learn basic acting techniques by strengthening observation and listening skills, risktaking, imagination, improvisation, concentration, exploration of self, voice, and body. Activities include textual analysis of Wilson’s plays and related works as well as documenting and revising performance philosophy and process. While providing a safe space for exploring the roles we play in our daily lives and taking on the roles of others in given or imagined circumstances,students will learn widely accepted theories, practices, and terminology of the actor’s craft in order to facilitate the practice, writing, and discussion of acting and producing Wilson’s plays and others.",,ART; WCult:CI,
AAAS,31.90,Black Theatre & Storytelling Workshop in XR: Reimagining The Purple Flower (1928),Ndounou,FILM 49.02 THEA 10.51,"Recognizing the intrinsic value of Black lives and Black storytelling across media platforms, this course will explore the staging of Black theatre texts in virtual reality (VR) and related XR technology.  Participants will explore VR technology at the intersection of Black cultural storytelling through the performance of monologues and scenes as well as design/tech, music and movement culminating into a pilot production of Marita Bonner’s The Purple Flower (1928), a non-realistic, one-act play that pushes the boundaries of theatrical staging.  No prior experience or pre-requisites required.",,ART; WCult:CI,
AAAS,32.01,Race and Gender in American Film,,FILM 47.24 LATS 25,"This course is an introduction to the history of race and gender in American film. These fundamental social constructs in American life have been central to the development of American film narrative from the beginnings of cinema at the turn of the twentieth century. In turn, American films have profoundly shaped the ways that we think about race and gender and racialized and gendered beings. We will analyze the shifting and situational meanings of race and gender throughout the twentieth century, and in particular, how they have been influenced by the forces of history, including wars, economic depressions, and social movements. While we will focus our attention on Hollywood cinema of the “golden age”, the period from the 1920s-1960, we will also spend significant time considering American independent cinema and the post-classical period of filmmaking from the 1960s to the present. In our consideration of race and racialized peoples, we will include African Americans, Native Americans, Asian Americans and Latinos. Our discussions of gender will be expansive to include not just women and femininity, but men and masculinity as well.",,ART; WCult:W,
AAAS,32.02,Black Queer Literature and Film,,WGSS 56.12,"This seminar will combine elements of black (trans) feminist theory and black queer theory to examine the written works and films/videos by and about lesbians, bisexual, transgender, gay and queer Black people.  Emphasis will be on tracing the emergence of black literary and cinematic voices from the late twentieth century to the present. We will read poetry, fiction and essays as well as watch films with an eye towards  understanding the historical and theoretical construction of sexual and gender identities, politics and sexual/cultural practices in Black communities. Special attention will be paid to the construction of race, gender and sexual identities in North America, the Caribbean and the United Kingdom.",,ART; WCult:CI,
AAAS,32.05,Cinema of Black Protest,,FILM 42.16,"This course considers Black histories of protest in conjunction with the history of Black representation in film. We will analyze historical documents, scholarly articles, legal cases and historical accounts of the major moments in Black resistance in the United States. We will begin with the protests against lynching in the early twentieth century and the Civil Rights and Black power era of the 1970′s Blaxploitation film genre through contemporary independent films. We will discuss issues of race and gender, racism, sexuality and homophobia as well as misogyny and sexism in Black representation. Students will be expected to watch and discuss films as well as read scholarly articles on race theory, queer theory, feminist theory and cultural criticism.",,SOC; WCult:W,
AAAS,32.15,The Making of 21st Century Exhibits: Curating a National Black Theater Museum/Institution,Ndounou,THEA 10.55,"This course is designed for those interested in theatre and performance, African American studies, history, and culture. Students will study influences on the development of black theater and performance in the USA as well as processes for preserving, curating, and exhibiting culture in institutions, examining how museum concepts intersect and/or collide with representations of black history and culture. In collaboration with the Hattiloo Theatre in Memphis and the DeVos Institute of Arts Management, who are drafting plans for an institution devoted to black theatre practitioners, students will determine and develop content for an interactive venue. They will consider strategies for the use of technology and live exhibits, involving black communities in exhibits and curation, and providing access to diverse communities. Projects and findings will be shared with the institution’s developers and will be considered in their ongoing plans. The course will include a visit to the National Museum of African American History and Culture in Washington.",,ART; WCult:CI,
AAAS,32.50,Black LGBTQ History,,WGSS 65.08,"This course is an introduction to the study of Black LGBTQ history in the United States. We will examine a range of primary and secondary source material from the nineteenth century through the late twentieth century. This material includes documentaries, scholarship, newspaper articles, newsletters, diaries and letters. We will look at sexual relationships in the nineteenth century among slaves and free people as well as the cultures of sexual diversity and gender transgression a couple of generations after slavery that gave rise to the jazz age and the Harlem Renaissance. We will also take a look at post-war America, the Civil Rights and Black Power era for their moments of sexual expression and gender variance as well as repression. The course will continue to examine Black experience into the AIDS crisis, gay marriage debates and transgender rights movements.",,SOC; WCult:W,
AAAS,33.10,Rituals of Breath: Black Performance and Resistance,,,"This interdisciplinary course explores the historical legacy of public rituals of extreme violence against African American peoples as both sites of anti-black state and non-state sanctioned disciplinary projects as well as time-spaces of radical resistance. From the slave trade to life and labor under conditions of slavery to post-reconstruction segregation to lynching to police violence, American history can be read through the changing nature of the public torture of Black peoples. At the center of these forms of violence are the control of breath as life force and sign of freedom. This course examines the murder of Eric Garner in 2014 in a police-executed choke hold as a key event that both harkens back to a long history of lynchings and shootings and also to a history of how Black communities have organized around and resisted these forms of violence. Aesthetic representation has been intimately connected to anti-Black racial violence from photographs and postcards of lynchings in which white perpetrators pose alongside dead Black bodies to representations of Emmitt Till’s mutilated body at his funeral in an open casket to video of Rodney King’s beating to the continuing stream of video and images of extra-judicial killings of black citizens. Generations of artists in film, theater, painting/sculpture, dance, and across media have challenged and confronted this aesthetics of violence. This course explores theories of ritual and performance to understand how artists and communities come together as collectives to contextualize and re-present impossible terrors. Artists and political organizers use aesthetics and collective action to transform the horror of being subject to violence at any moment into rituals of potential social transformation. This course then teaches students theories of ritual and performance as ways that communities have historically engaged and confronted histories of anti-Black violences in order to conceive of new future possibilities in the face of disciplinary actions meant to contain and choke black people(s). In some manner, the course links African American experiences of violence and resistance to those of other African peoples around the world. This course is team taught and also draws upon the expertise of various faculty at Dartmouth. This course aims to link theories of Black life and performance to active practices of performance-making, interrogating the intersections between art and scholarship.",,ART; WCult:CI,
AAAS,34,Early Black American Literature,Chaney,ENGL 30,"A study of the foundations of Black American literature and thought, from the colonial period through the era of Booker T. Washington. The course will concentrate on the way in which developing Afro-American literature met the challenges posed successively by slavery, abolition, emancipation, and the struggle to determine directions for the twentieth century. Selections will include: Wheatley, Life and Works; Brown, Clotel; Douglass, Narrative; Washington, Up from Slavery; DuBois, Souls of Black Folk; Dunbar, Sport of the Gods; Chestnut, House Behind the Cedars; Harriet Wilson, Our Nig; Johnson, The Autobiography of an Ex-Coloured Man; and poems by F. W. Harper, Paul L. Dunbar and Ann Spencer. ",,LIT; WCult:W,
AAAS,35,Modern Black American Literature,Varies,ENGL 33,"A study of African American literature from the Harlem Renaissance to the present, this course will focus on emerging and diverging traditions of writing by African Americans. We shall also investigate the changing forms and contexts of 'racial representation' in the United States. Works may include those by Hurston, Hughes, Wright, Ellison, Morrison, Schuyler, West, Murray, Gates, Parks.",,LIT; WCult:W,
AAAS,35.50,Introduction to  African American Environmental Thought: The Black Outdoors,Bennett,ENGL 53.29,"The persistence of black life, and blackness as a way of thinking about the organization of both human and nonhuman forms of life, has been absolutely central to the story of the United States and the Americas more broadly. This course provides an interdisciplinary exploration of the writing of thinkers from across the African diaspora, with special emphasis on literary works and criticism centrally concerned with the intersections of black literary studies and African American environmental thought. We will draw on a range of texts in order to wrestle with some of the key concerns of African American writers from the 19th century through the present. Students will be introducedto a range of methods and approaches to the meta-disciplinary work of black literary studies. By the end of the course, students will be expected to possess a working knowledge of several major themes, figures and moments within the black expressive tradition.",,LIT; WCult:W,
AAAS,35.60,Poetry for the People,Bennett,ENGL 53.48,"The central concern of this class is the historical relationship between the social lives of everyday people and U.S. American poetics, with a special emphasis on what June Jordan once termed the “difficult miracle of Black poetry in America.” How does poetry help us to know one another? And how might we better understand the particular role of poetry, of poesis, for those historically barred from the very practice of reading or writing, from ownership (even of one’s own body), and various generally recognized forms of belonging? For the purposes of this course, these will be some of our animating questions.",,LIT; WCult:CI,
AAAS,36.50,Rasta and Rastafari,Campbell,,"This course examines the Rastafari spiritual and political movement from its genesis in Jamaica to its transformation into a global phenomenon. Today’s perception of Rastafari is informed by popular images of marijuana smoking, reggae musicians and a laid-back lifestyle. Consequently, Rasta is often mistaken for practicing a countercultural phenomenon of no global significance, a poster child for the undesirable other, or merely a misguided rebel. Rastafari however, is significantly more profound. Rastafari has offered, cloaked in revolutionary black hermeneutics, some of the sharpest critiques against European imperialism and exploitation. Despite the presence of burgeoning scholarship, Rasta’s global significance remains hidden in the fissures of most historical discourses and behind the haze of marijuana smoke created by popular understandings of the movement. This course employs monographs, scholarly articles, documentary films and primary sources and music to and explore Rastafarian ideologies that among other things, promoted decolonization while decrying racism and imperialism. It is open to students seeking to broaden their knowledge of religions and socio-political movements in the African diaspora.",,WCult:NW,
AAAS,39,Jazz: Black Creative Music and American Culture,,MUS 005,"The music known as ‘jazz’ has been one of the most revolutionary and influential artistic movements of the past century. Jazz: Black Creative Music and American Culture will provide a basic historical overview of the music, with major themes including the relationship between composition and improvisation; the reinvention of traditional roles of performer, composer, bandleader, and collective ensemble; and the music’s connection to African-American history and the civil rights movement. Not open to students who have received credit for MUS 05.01, MUS 05.02, AAAS 39.01, or AAAS 39.02.",,ART,
AAAS,39.01,History of Jazz to 1965,,MUS 5.01,"This course examines jazz from its origins to 1965, with special attention given to pivotal figures such as Louis Armstrong, Charlie Parker, Miles Davis and JohnColtrane. Class work includes listening to, analyzing, and discussing jazz recordings and watching jazz films. Students will also attend live jazz performances and read about the artists who brought this music to life, with the goal being to increase understanding, appreciation and enjoyment of this great American art form.",,ART; WCult:W,
AAAS,39.02,History of Jazz since 1959,Glasgo,MUS 5.02,"This class examines developments in jazz, starting with historic 1959 recordings by Ornette, Coltrane and Miles Davis, followed by soul jazz, modal jazz, jazz funk, the avant-garde, big bands, Afro-Latin jazz and world jazz. Class work includes close listening, discussions, collaborations and in-class presentations. Students also complete required reading, listening and writing assignments and attend jazz performances, resulting in a deeper understanding and appreciation for jazz and improvisation, both worldwide and in our daily lives.",,ART; WCult:W,
AAAS,39.03,Advanced Studies in Jazz History: A Century of Jazz at Dartmouth,,MUS 45.12,"Advanced Studies in Jazz History offers students the opportunity for in-depth research into specific topics pertaining to Black Creative Music. This term we will be turning our gaze inward, exploring Dartmouth’s own history with jazz and other forms of Black music over the past century. Through a combination of primary source research, interviews and oral history, and creative storytelling and writing, the goal of this course is to generate lasting, honest, insightful, and engaging documentation of the complicated history of jazz at Dartmouth.",,ART,
AAAS,39.05,Utility of Death and Dying in African American Music,,,"This course explores the topics of death and dying and their multiple uses across the span of African American music from the time of enslavement to the present day. Through an engagement with sound recordings, scholarly writings, journalism, lyrical analysis, film, and other sources, we will expand our understanding of how and why death is so frequently invoked in African American music.  Although some reasons for these invocations - for instance, loss or mourning – may seem obvious, this course will require us to reframe our perceptions of death as simply the ending point of life. As we will learn, death and dying can serve a number of purposes, from ‘deadness’ serving as a necessary aesthetic for creation, to death being an integral part of an artist’s identity.",,ART; WCult:W,
AAAS,39.06,Hip-Hop in the United States,Martin,MUS 18.02,"This course is an introduction to hip-hop music and culture, intended to offer interdisciplinary perspectives on what is one of the most popular genres in the United States. From its humble origins in New York to now, hip-hop and rap music have changed the sonic landscape of the US and the world. We will examine rap music and hip-hop culture as artistic and sociological phenomena with emphasis on historical, cultural, economic and political contexts.  Discussions will include the coexistence of various hip-hop styles, their appropriation by the music industry, and controversies resulting from the exploitation of hip-hop music and culture as a commodity for national and global consumption.",,ART; WCult:CI,
AAAS,40,Gender Identities and Politics in Africa,Coly,WGSS 34.02,"This interdisciplinary course explores the constructions of gender identities in different African socio-cultural contexts. The emphasis is on contemporary Africa, although we will discuss some of the historical framework of these identities. We will read historical accounts of gender in some pre-colonial African societies, investigate the impact of colonialism, and examine gender in some anti-colonial movements. We will also analyze gender in urban and rural contexts, and address such questions as homosexuality and gay rights.",,INT; WCult:CI,
AAAS,42,"Women, Religion and Social Change in Africa",Baum,REL 66 and WGSS 44.03,"This introductory, multidisciplinary course examines women's religions ideas, beliefs, concerns, actions, rituals and socio-cultural experiences in African societies and cultures from a comparative, historical and gender perspective. We will look at women's experiences of social change in African religions, the encounter with Islam, slavery, Christianity, and colonialism. We will analyze the articulations of economic and political power or lack of power in religious ideas as we ask questions such as: What are the different antecedents and circumstances in which women exercise or are denied agency, leadership, power and happiness in their communities? Texts will include nonfiction, fiction, and film narratives. Open to all students.",,SOC; WCult:NW,
AAAS,44,"Contemporary Africa: Exploring Myths, Engaging Realities",,ANTH 036,"This course focuses on processes, relationships, and experiences that have shaped, and continue to shape, the lives of Africans in many different contexts. These include issues of ecology and food production, age, gender, ethnicity, exchange, colonialism, apartheid, and development. We will then embark on in depth readings of ethnographies that engage these issues and themes. In the processes we will move beyond prevailing stereotypes about Africa, to engage the full complexity of its contemporary realities. ",,INT or SOC; WCult:CI,
AAAS,46,History of Modern South Africa,Sackeyfio-Lenoch,HIST 67,"After an initial overview of colonialism in Africa, this course will concentrate on Southern Africa, with special emphasis on the historical development, effects, and implications of the racial situation in the Republic of South Africa. Readings will be drawn from primary and secondary materials and from works of fiction. Illustrative films will be shown, and some opportunity offered to compare the history of race relations in South Africa with that in other African countries and in the United States. Open to all classes.",,SOC; WCult:NW,
AAAS,50,"Colonialism, Development, and the Environment in Africa and Asia",Haynes,ENVS 045 HIST 075,"This course examines the environmental history of Africa and Asia, focusing on the period of European colonialism and its aftermath. Topics include deforestation and desertification under colonial rule; imperialism and conservation; the consequences of environmental change for rural Africans and Asians; irrigation, big dams and transformations in water landscapes; the development of national parks and their impact on wildlife and humans; the environmentalism of the poor; urbanization and pollution; and global climate change in Africa and Asia. Open to all classes.",,INT or SOC; WCult:NW,
AAAS,51,African Literatures: Masterpieces of Literatures from Africa,Coly,"COLT 51.01, ENGL 53.16","This course is designed to provide students with a specific and global view of the diversity of literatures from the African continent. We will read texts written in English or translated from French, Portuguese, Arabic and African languages. Through novels, short stories, poetry, and drama, we will explore such topics as the colonial encounter, the conflict between tradition and modernity, the negotiation of African identities, post-independence disillusion, gender issues, apartheid and post-apartheid. In discussing this variety of literatures from a comparative context, we will assess the similarities and the differences apparent in the cultures and historical contexts from which they emerge. Readings include Chinua Achebe's Things Fall Apart, Naguib Mahfouz's Midaq Alley, Calixthe Beyala's The Sun Hath Looked Upon Me, Camara Laye's The African Child, and Luandino Vieira's Luanda.",,INT or LIT; WCult:NW,
AAAS,53,Islam in Africa,Baum,HIST 69 REL 74.17,"This course aims to introduce students to the formation of Islam in the Maghrib, Saharan Africa, and Africa south of the desert. Assignments will address continuities with and differences from the practices of Muslims in other parts of the world while emphasizing the central role the religion has played in the unfolding of history in various parts of Africa. Topics covered will include conversion, popular religion and mysticism, cultural formations, and social organization. Open to all classes.",,SOC; WCult:CI,
AAAS,54,Postcolonial African Drama,,THEA 23,"This course explores selected theatre and performance traditions of sub-Saharan Africa. How do African playwrights negotiate and transform the colonial legacy of Western drama, and how do they use theater to challenge neocolonial regimes and to advance ideas of democracy, human rights, and gender equality?  Plays from Nigeria, South Africa, Kenya, and Uganda receive special emphasis. No prior knowledge of African studies or theater is necessary, just a willingness to expand critical and creative horizons.  ",,ART; WCult:NW,
AAAS,55.01,African Cinema,,FILM 42.09,"This course focuses on the cinemas of Francophone Africa. We will examine early Western filmic representations of Africans as savages devoid of culture and history. We will then examine how African filmmakers have challenged those images by creating new depictions of their societies, offering Africa through African eyes. We will explore the social, historical, and political contexts of these films and explore their aesthetic and narrative characteristics. We will discuss issues and theories related to the definition of the so-called third world cinema, postcolonial cinema, and postmodern cinema.",,ART; WCult:NW,
AAAS,56,The African Political Novel,Coly,COLT 51.03,"This course examines the relationship between politics and the novel in Africa. I have selected novels from different parts of Africa. We will approach the selected novels as instruments of political interest and products of political contexts. We will then proceed to put these novels in a triangular conversation with political theorists of Africa and the political philosophies of African leaders. Topics include democracy and governance, clientelism and patrimonialism, failed states, gender, and grassroots activism.",,LIT; WCult:NW,
